zipcode,number_of_returns,income
55346,930,82511
55346,2260,319627
55346,960,386091
,,
55347,"14,980","2,443,591"
55347,3560,35051
55347,2000,75085
55347,1550,97491
55347,1320,116872
55347,3540,520115
55347,3010,1598977
,,
55349,"1,840","111,475"
55349,580,6843
55349,460,17374
55349,320,19686
55349,230,20272
55349,210,28769
55349,40,18531
,,
55350,"9,170","538,171"
55350,3050,36433
55350,2200,81572
55350,1510,94350
55350,1040,91681
55350,1170,153523
55350,200,80612
,,
55352,"4,620","340,761"
55352,1400,14924
55352,980,36962
55352,630,39305
55352,510,45503
55352,880,118787
55352,220,85280
,,
55353,"1,490","97,383"
55353,450,5246
55353,350,12915
55353,260,16659
55353,230,19897
55353,170,22768
55353,30,19898
,,
55354,"1,300","76,954"
55354,370,4270
55354,340,12615
55354,220,13916
55354,180,15532
55354,170,22855
55354,20,7766
,,
55355,"4,670","260,153"
55355,1620,19398
55355,1210,44497
55355,710,44806
55355,520,45560
55355,500,65922
55355,110,39970
,,
55356,"2,690","652,516"
55356,790,7856
55356,320,12173
55356,290,18624
55356,210,18252
55356,460,65994
55356,620,529617
,,
55357,"1,650","187,347"
55357,480,4954
55357,250,9483
55357,190,11764
55357,180,16386
55357,340,47800
55357,210,96960
,,
55358,"2,570","182,860"
55358,820,9054
55358,540,20427
55358,400,25116
55358,320,28445
55358,400,53197
55358,90,46621
,,
55359,"3,100","465,232"
55359,840,9120
55359,560,21215
55359,380,24214
55359,300,26477
55359,580,81453
55359,440,302753
,,
55360,"1,350","98,534"
55360,330,3886
55360,240,9249
55360,240,15100
55360,220,19056
55360,280,36804
55360,40,14439
,,
55362,"9,260","587,821"
55362,3040,34695
55362,1990,73976
55362,1410,88033
55362,1080,94666
55362,1490,197846
55362,250,98605
,,
55363,"2,260","128,772"
55363,670,8242
55363,570,21499
55363,400,24963
55363,310,26939
55363,280,37034
55363,30,10095
,,
55364,"7,570","935,510"
55364,2060,22430
55364,1450,54813
55364,970,60597
55364,730,64728
55364,1400,198536
55364,960,534406
,,
55367,470,"29,677"
55367,140,1743
55367,110,4091
55367,90,5527
55367,60,4887
55367,70,13429
55367,**,**
,,
55368,"1,170","70,519"
55368,380,4092
55368,320,12337
55368,170,11053
55368,120,10414
55368,150,20060
55368,30,12563
,,
55369,"18,650","1,415,380"
55369,4810,56185
55369,3850,144109
55369,2930,183623
55369,2310,203154
55369,3870,529084
55369,880,299225
,,
55370,400,"26,125"
55370,110,1287
55370,90,3330
55370,70,4485
55370,50,4212
55370,80,12811
55370,**,**
,,
55371,"7,930","453,468"
55371,2590,31181
55371,1890,70478
55371,1360,84411
55371,960,84289
55371,1000,129828
55371,130,53281
,,
55372,"15,920","1,847,844"
55372,4230,45737
55372,2610,97581
55372,1930,121540
55372,1570,138944
55372,3630,515035
55372,1950,929007
,,
55373,"2,770","200,580"
55373,830,10048
55373,650,24036
55373,400,25142
55373,300,26616
55373,460,63037
55373,130,51701
,,
55374,"6,900","659,285"
55374,1830,18872
55374,1000,37171
55374,790,50237
55374,770,68558
55374,1910,267554
55374,600,216893
,,
55375,"1,830","157,839"
55375,440,4719
55375,280,10283
55375,240,15331
55375,230,20539
55375,530,74175
55375,110,32792
,,
55376,"7,790","669,957"
55376,2150,22389
55376,1200,45461
55376,1060,66800
55376,970,86028
55376,1960,268840
55376,450,180439
,,
55378,"14,020","1,187,815"
55378,3790,42321
55378,2470,91996
55378,1810,113684
55378,1550,137164
55378,3370,471347
55378,1030,331303
,,
55379,"21,340","1,654,292"
55379,6210,72652
55379,4760,177530
55379,3070,190924
55379,2210,193751
55379,3950,541760
55379,1140,477675
,,
55381,990,"54,095"
55381,320,4200
55381,230,8447
55381,190,12238
55381,120,10885
55381,130,18325
55381,**,**
,,
55382,"1,780","120,544"
55382,540,6415
55382,370,13790
55382,290,18027
55382,240,20911
55382,270,35616
55382,70,25785
,,
55384,980,"72,905"
55384,320,3678
55384,250,9428
55384,140,8703
55384,90,7606
55384,110,16156
55384,70,27334
,,
55385,630,"35,141"
55385,220,2825
55385,150,5667
55385,110,7204
55385,70,6240
55385,80,13205
55385,**,**
,,
55386,"3,420","453,558"
55386,820,7898
55386,310,11678
55386,310,19404
55386,300,26787
55386,1010,148178
55386,670,239613
,,
55387,"6,330","573,803"
55387,1780,18936
55387,1010,38308
55387,820,52034
55387,690,60923
55387,1570,218370
55387,460,185232
,,
55388,"2,680","188,539"
55388,820,8908
55388,540,20406
55388,420,26412
55388,340,29806
55388,460,60870
55388,100,42137
,,
55389,"1,260","71,634"
55389,400,4830
55389,320,11661
55389,230,14412
55389,160,13822
55389,120,16252
55389,30,10657
,,
55390,"1,230","77,075"
55390,340,4387
55390,310,11870
55390,210,13592
55390,160,13979
55390,180,24070
55390,30,9177
,,
55391,"7,890","2,774,257"
55391,1980,19254
55391,1020,38878
55391,770,49187
55391,590,52742
55391,1410,204922
55391,2120,2409274
,,
55395,"1,470","83,237"
55395,500,6048
55395,390,14300
55395,240,14909
55395,160,14077
55395,140,17510
55395,40,16393
,,
55396,"1,030","56,055"
55396,340,4191
55396,280,10610
55396,190,12282
55396,110,10062
55396,90,12541
55396,20,6369
,,
55397,"1,370","83,576"
55397,380,4626
55397,320,12168
55397,230,14119
55397,200,17620
55397,210,27054
55397,30,7989
,,
55398,"7,510","495,805"
55398,2200,25209
55398,1520,57441
55398,1270,79283
55398,1030,90974
55398,1300,169698
55398,190,73200
,,
55401,"6,560","951,609"
55401,860,11630
55401,1060,41432
55401,1410,90074
55401,950,83565
55401,1470,204931
55401,810,519977
,,
55402,860,"565,582"
55402,170,1822
55402,120,4467
55402,130,8043
55402,90,8050
55402,130,17703
55402,220,525497
,,
55403,"9,970","1,006,822"
55403,2910,38807
55403,2850,106319
55403,1630,101144
55403,820,71510
55403,1020,143378
55403,740,545664
,,
55404,"12,310","467,957"
55404,6200,81264
55404,3860,138292
55404,1160,70553
55404,480,42050
55404,460,63035
55404,150,72763
,,
55405,"8,650","994,104"
55405,2780,38045
55405,2610,97112
55405,1190,73958
55405,570,50170
55405,800,111934
55405,700,622885
,,
55406,"18,550","1,158,199"
55406,5490,72663
55406,4820,182648
55406,3220,201563
55406,2010,176243
55406,2510,339826
55406,500,185256
,,
55407,"18,890","868,889"
55407,7460,101262
55407,5620,205752
55407,2530,157321
55407,1440,126433
55407,1660,221254
55407,180,56867
,,
55408,"18,840","1,076,675"
55408,6200,89183
55408,6400,236940
55408,2990,184310
55408,1260,109530
55408,1400,192277
55408,590,264435
,,
55409,"6,380","472,111"
55409,1840,24063
55409,1730,64539
55409,1020,63502
55409,600,52571
55409,890,123935
55409,300,143501
,,
55410,"10,360","1,458,333"
55410,2140,23816
55410,1590,60851
55410,1340,85044
55410,1010,89893
55410,2440,353716
55410,1840,845013
,,
55411,"12,210","382,828"
55411,6770,87606
55411,3580,126454
55411,1020,62267
55411,440,37930
55411,340,44387
55411,60,24184
,,
55412,"10,690","419,444"
55412,4700,59978
55412,3220,117401
55412,1440,88398
55412,680,58757
55412,590,76097
55412,60,18813
,,
55413,"7,310","439,713"
55413,2230,30399
55413,2380,88497
55413,1260,78044
55413,550,47384
55413,690,94786
55413,200,100603
,,
55414,"11,000","555,750"
55414,5710,70394
55414,2690,96702
55414,980,60418
55414,480,41862
55414,730,101939
55414,410,184435
,,
55415,"1,400","210,499"
55415,300,3547
55415,220,8484
55415,220,14044
55415,140,12575
55415,270,38626
55415,250,133223
,,
55416,"18,510","2,074,533"
55416,3800,46018
55416,4220,162749
55416,3320,208249
55416,1930,169626
55416,3230,460630
55416,2010,1027261
,,
55417,"13,570","1,009,540"
55417,3350,40915
55417,3000,114319
55417,2190,137464
55417,1660,145929
55417,2730,375387
55417,640,195526
,,
55418,"16,850","1,018,999"
55418,5160,68493
55418,4540,169645
55418,2770,172148
55418,1730,151591
55418,2220,298551
55418,430,158571
,,
55419,"13,900","1,666,840"
55419,3420,39990
55419,2550,95967
